tconst	originalTitle	directors	runtimeMinutes
tt0023258	Mädchen zum Heiraten	nm0857949	102
tt0023264	Nice Women	nm0461348	70
tt0023303	One Hour with You	nm0002030,nm0523932	78
tt0023305	One Way Passage	nm0307819	67
tt0023349	Polly of the Circus	nm0763453	69
tt0023385	Red-Headed Woman	nm0176699	79
tt0023394	The Rich Are Always with Us	nm0337586	71
tt0023395	Rich and Strange	nm0000033	92
tt0023437	Das schöne Abenteuer	nm0778306	82
tt0023455	Service for Ladies	nm0466099	93
tt0023481	Skal vi vædde en million?	nm0774256	88
tt0023555	Taxi for Two	nm0261971,nm0166700	73
tt0023558	La telefonista	nm0538966	80
tt0023580	There Goes the Bride	nm0184005	79
tt0023589	Three Wise Girls	nm0064415	68
